24-00-12-44.377147,11909,9199,11446,8485,241,392
24-00-12-44.576196,11911,9202,11448,8487,241,393
24-00-12-44.768168,11911,9202,11448,8487,241,393
24-00-12-44.961997,11911,9202,11448,8487,241,393
24-00-12-45.158304,11911,9202,11448,8487,241,393
24-00-12-45.363401,11911,9202,11448,8487,241,393
24-00-12-45.572882,11911,9202,11448,8487,241,393
24-00-12-45.763023,11911,9202,11448,8487,241,393
24-00-12-45.960146,11911,9202,11448,8487,241,393
24-00-12-46.145119,11911,9202,11448,8487,241,393
24-00-12-46.320731,11911,9202,11448,8487,241,393
24-00-12-46.501952,11911,9202,11448,8487,241,393
24-00-12-46.694339,11911,9202,11448,8487,241,393
24-00-12-46.873851,11911,9202,11448,8487,241,393
24-00-12-47.076306,11911,9202,11448,8487,241,393
24-00-12-47.265446,11911,9202,11448,8487,241,393
24-00-12-47.457405,11911,9202,11448,8487,241,393
24-00-12-47.643007,11913,9205,11448,8487,242,395
24-00-12-47.841667,11913,9205,11448,8487,242,395
24-00-12-48.043124,11913,9205,11448,8487,242,395
24-00-12-48.225781,11913,9205,11448,8487,242,395
24-00-12-48.414082,11913,9205,11448,8487,242,395
24-00-12-48.597638,11914,9206,11448,8487,243,396
24-00-12-48.777417,11914,9206,11448,8487,243,396
24-00-12-48.985686,11914,9206,11448,8487,243,396
24-00-12-49.167795,11914,9206,11448,8487,243,396
24-00-12-49.351039,11914,9206,11448,8487,243,397
24-00-12-49.542198,11915,9207,11448,8487,244,397
24-00-12-49.757153,11915,9207,11448,8487,244,397
24-00-12-49.940142,11915,9208,11448,8487,245,398
24-00-12-50.130282,11916,9208,11448,8487,245,398
24-00-12-50.333300,11916,9208,11448,8487,245,398
24-00-12-50.523746,11916,9208,11448,8487,245,398
24-00-12-50.704717,11919,9211,11448,8487,247,400
24-00-12-50.894288,11929,9223,11462,8500,247,400
24-00-12-51.067641,11946,9233,11475,8512,247,400
24-00-12-51.231882,11962,9245,11491,8521,247,400
24-00-12-51.396327,11982,9258,11511,8534,247,400
24-00-12-51.572997,11997,9271,11526,8550,247,400
24-00-12-51.759666,12018,9288,11547,8564,247,400
24-00-12-51.920652,12034,9299,11563,8575,247,400
24-00-12-52.104210,12049,9312,11583,8589,247,400
24-00-12-52.279478,12069,9323,11598,8599,247,400
24-00-12-52.451627,12082,9333,11613,8609,247,400
24-00-12-52.636398,12104,9350,11634,8626,247,400
24-00-12-52.817156,12124,9366,11655,8643,247,400
24-00-12-52.998132,12141,9377,11670,8653,247,400
24-00-12-53.165097,12162,9394,11691,8670,247,400
24-00-12-53.334105,12177,9407,11710,8684,247,400
24-00-12-53.521211,12198,9424,11731,8701,247,400
24-00-12-53.691682,12219,9437,11748,8713,247,400
24-00-12-53.876933,12232,9448,11759,8722,247,400
24-00-12-54.054948,12232,9448,11759,8722,247,400
24-00-12-54.257186,12232,9448,11759,8722,247,400
24-00-12-54.441987,12232,9448,11759,8722,247,400
24-00-12-54.623391,12232,9448,11759,8722,247,400
24-00-12-54.809111,12232,9448,11759,8722,247,400
24-00-12-54.987442,12232,9448,11759,8722,247,400
24-00-12-55.177441,12232,9448,11759,8722,247,400
24-00-12-55.352923,12232,9448,11759,8722,247,400
24-00-12-55.532233,12232,9448,11759,8722,247,400
24-00-12-55.704815,12232,9448,11759,8722,247,400
24-00-12-55.887694,12232,9448,11759,8722,247,400
24-00-12-56.051172,12232,9448,11759,8722,247,400
24-00-12-56.229772,12232,9448,11759,8722,247,400
24-00-12-56.412683,12232,9448,11759,8722,247,400
24-00-12-56.588910,12232,9448,11759,8722,247,400
24-00-12-56.760322,12232,9448,11759,8722,247,400
24-00-12-56.956920,12233,9449,11759,8722,247,400
24-00-12-57.141989,12233,9449,11759,8722,247,400
24-00-12-57.345379,12233,9449,11759,8722,247,400
24-00-12-57.526365,12233,9449,11759,8722,247,400
24-00-12-57.721209,12233,9449,11759,8722,247,400
24-00-12-57.930775,12233,9449,11759,8722,247,400
24-00-12-58.136334,12233,9449,11759,8722,247,400
24-00-12-58.841232,12233,9449,11759,8722,247,400
24-00-12-59.039263,12233,9449,11759,8722,247,400
24-00-12-59.253457,12233,9449,11759,8722,247,400
24-00-12-59.464746,12233,9449,11759,8722,247,400
24-00-12-59.653588,12233,9449,11759,8722,247,400
24-00-12-59.856976,12233,9449,11759,8722,247,400
24-00-13-00.059272,12233,9449,11759,8722,247,400
24-00-13-00.239834,12233,9449,11759,8722,247,400
24-00-13-00.423478,12233,9449,11759,8722,247,400
24-00-13-00.610283,12233,9449,11759,8722,247,400
24-00-13-00.822263,12233,9449,11759,8722,247,400
24-00-13-01.031534,12234,9449,11759,8722,247,400
24-00-13-01.237895,12234,9449,11759,8722,247,400
24-00-13-01.427035,12234,9449,11759,8722,247,400
24-00-13-01.603676,12234,9449,11759,8722,247,400
24-00-13-01.792836,12234,9449,11759,8722,247,400
24-00-13-01.968879,12234,9449,11759,8722,247,400
24-00-13-02.144509,12234,9449,11759,8722,247,400
24-00-13-02.340863,12234,9449,11759,8722,247,400
24-00-13-02.526079,12234,9449,11759,8722,247,400
24-00-13-02.704238,12234,9449,11759,8722,247,400
24-00-13-02.889108,12234,9449,11759,8722,247,400
24-00-13-03.068241,12234,9449,11759,8722,247,400
24-00-13-03.265735,12234,9449,11759,8722,247,400
24-00-13-03.460392,12234,9449,11759,8722,247,400
24-00-13-03.654911,12234,9449,11759,8722,247,400
24-00-13-03.854291,12234,9449,11759,8722,247,400
24-00-13-04.035987,12234,9449,11759,8722,247,400
24-00-13-04.216785,12234,9449,11759,8722,247,400
24-00-13-04.393506,12234,9449,11759,8722,247,400
24-00-13-05.068859,12234,9449,11759,8722,247,400
24-00-13-05.248781,12234,9449,11759,8722,247,400
24-00-13-05.436955,12234,9449,11759,8722,247,400
24-00-13-05.641938,12234,9449,11759,8722,247,400
24-00-13-05.824560,12234,9449,11759,8722,247,400
24-00-13-06.028659,12234,9449,11759,8722,247,400
24-00-13-06.220452,12234,9449,11759,8722,247,400
24-00-13-06.410797,12234,9449,11759,8722,247,400
24-00-13-06.607881,12234,9449,11759,8722,247,400
24-00-13-06.817569,12234,9449,11759,8722,247,400
24-00-13-07.024000,12234,9449,11759,8722,247,400
24-00-13-07.235186,12234,9449,11759,8722,247,400
24-00-13-07.415545,12234,9449,11759,8722,247,400
24-00-13-08.097721,12234,9449,11759,8722,247,400
24-00-13-08.301223,12234,9449,11759,8722,247,400
24-00-13-08.504739,12234,9449,11759,8722,247,400
24-00-13-08.686063,12234,9449,11759,8722,247,400
24-00-13-08.881225,12234,9449,11759,8722,247,400
24-00-13-09.106884,12234,9449,11759,8722,247,400
24-00-13-09.290559,12234,9449,11759,8722,247,400
24-00-13-09.484233,12234,9449,11759,8722,247,400
24-00-13-09.708191,12234,9449,11759,8722,247,400
24-00-13-09.904245,12234,9449,11759,8722,247,400
24-00-13-10.102238,12234,9449,11759,8722,247,400
24-00-13-10.278944,12234,9449,11759,8722,247,400
24-00-13-10.471830,12234,9449,11759,8722,247,400
24-00-13-10.672786,12234,9449,11759,8722,247,400
24-00-13-10.847205,12234,9449,11759,8722,247,400
24-00-13-11.039282,12234,9449,11759,8722,247,400
24-00-13-11.228441,12234,9449,11759,8722,247,400
24-00-13-11.395398,12234,9449,11759,8722,247,400
24-00-13-11.583758,12234,9449,11759,8722,247,400
24-00-13-11.763889,12234,9449,11759,8722,247,400
24-00-13-11.941093,12234,9449,11759,8722,247,400
24-00-13-12.129790,12234,9449,11759,8722,247,400
